name lambda action l-kind A_i V_g/i sig_g/i fit-kind aon
0 HeII 3203.15 f l 1.000 0 10 f 4
1 [NeV] 3345.81 f l 1.000 0 10 f 4
2 [NeV] 3425.81 f l 1.000 0 10 f 4
3 [OII] 3726.03 f l 1.000 0 10 f 4
4 [OII] 3728.73 f l 1.000 0 10 f 4
5 [NeIII] 3868.69 f l 1.000 0 10 f 4
6 [NeIII] 3967.40 f l 1.000 0 10 f 4
7 H5 3889.05 f d24 37 0 10 f 4
8 He 3970.07 f d24 56 0 10 f 4
9 Hd 4101.73 f d24 91 0 10 f 4
10 Hg 4340.46 f d24 164 0 10 f 4
11 [OIII] 4363.15 f l 1.000 0 10 f 4
12 HeII 4685.74 f l 1.000 0 10 f 4
13 [ArIV] 4711.30 f l 1.000 0 10 f 4
14 [ArIV] 4740.10 f l 1.000 0 10 f 4
15 Hb 4861.32 f l 350 0 10 f 4
16 [OIII] 4958.83 f d17 350 0 10 t17 4
17 [OIII] 5006.77 f l 1.000 0 10 f 4
18 [NI] 5197.90 f l 1.000 0 10 t17 4
19 [NI] 5200.39 f l 1.000 0 10 t17 4
20 HeI 5875.60 f l 1.000 0 10 t25 4
21 [OI] 6300.20 f l 1.000 0 10 t25 4
22 [OI] 6363.67 f d21 333 0 10 t25 4
23 [NII] 6547.96 f d25 340 0 10 t25 4
24 Ha 6562.80 f l 1.000 0 10 f 4
25 [NII] 6583.34 f l 1.000 0 10 f 4
26 [SII] 6716.31 f l 1.000 0 10 t25 4
27 [SII2] 6730.68 f l 1.000 0 10 t25 4
30 [ArIII] 7135.67 f l 1.000 0 10 t25 4
